experiment,model,accuracy_mean,balanced_accuracy_mean,f1_macro_mean,f1_weighted_mean
Binary At Risk,Gradient Boosting,0.7023809523809523,0.6330128205128205,0.6298772911676137,0.6743547969354421
Binary At Risk with Oversampling,LogReg Balanced + ROS,0.6423809523809524,0.6130494505494506,0.6119762802231042,0.6393023832791529
Binary At Risk with Oversampling,RF + ROS,0.6133333333333333,0.6073260073260074,0.5957768989111027,0.6151561373833371
Binary At Risk,Logistic Regression,0.6828571428571429,0.5996336996336996,0.5762329486523036,0.6341321372772984
Binary At Risk,Logistic Regression Balanced,0.5933333333333334,0.5853479853479854,0.5735705903007021,0.5952291126604046
Binary At Risk with Oversampling,LogReg Balanced + SMOTE,0.6038095238095238,0.5768315018315018,0.5704761904761905,0.5999602302459446
Binary At Risk,Decision Tree Balanced,0.5728571428571428,0.6096153846153847,0.5701544083412436,0.5722903398929782
Binary At Risk,Extra Trees Balanced,0.5642857142857144,0.6065018315018315,0.5481242500189868,0.5485885623148781
Multiclass Risk Level,Extra Trees Balanced,0.5147619047619048,0.5166666666666666,0.5158689859618653,0.5067709330000352
Binary At Risk,Random Forest Balanced,0.5338095238095238,0.5390567765567765,0.5016825390799008,0.5197382442581758
Multiclass Risk Level,Gradient Boosting,0.44523809523809527,0.44793650793650797,0.4417528767528768,0.4397635975135975
Multiclass Risk Level,Logistic Regression Balanced,0.4357142857142858,0.43341269841269836,0.42346263758028463,0.4255280859818676
Multiclass Risk Level,Logistic Regression,0.4357142857142858,0.4318253968253968,0.42232010564827904,0.42412748950232365
Binary At Risk,Dummy Most Frequent,0.6338095238095238,0.5,0.38783422459893047,0.49195059842118666
Multiclass Risk Level,Random Forest Balanced,0.4057142857142857,0.40388888888888885,0.38607205430734837,0.38467999289848026
Multiclass Risk Level,Decision Tree Balanced,0.3461904761904762,0.3476984126984127,0.2786341302283331,0.2778520111128807
Multiclass Risk Level,Dummy Most Frequent,0.3661904761904761,0.3333333333333333,0.17858055099434408,0.19663929939792008
